user_id,registration_date,country,source,device
1,2025-07-23,GB,ads,mobile
2,2025-10-16,IN,ads,desktop
3,2025-06-24,ES,affiliate,desktop
4,2025-08-16,IT,organic,desktop
5,2025-11-24,BR,organic,desktop
6,2025-05-11,IN,ads,mobile
7,2025-07-27,TR,ads,desktop
8,2025-07-19,GB,ads,desktop
9,2025-11-22,TR,organic,mobile
10,2025-10-14,IN,ads,mobile
11,2025-10-28,DE,ads,mobile
12,2025-05-30,IN,organic,mobile
13,2025-08-31,BR,organic,mobile
14,2025-07-07,DE,ads,mobile
15,2025-10-15,IN,organic,desktop
16,2025-11-15,UA,organic,desktop
17,2025-09-22,BR,ads,mobile
18,2025-11-25,BR,ads,mobile
19,2025-07-05,IN,organic,mobile
20,2025-09-03,IN,ads,desktop
21,2025-07-28,KZ,ads,mobile
22,2025-10-30,BR,organic,mobile
23,2025-05-13,ES,organic,mobile
24,2025-06-12,PL,ads,desktop
25,2025-07-22,GB,ads,mobile
26,2025-11-18,PL,organic,mobile
27,2025-10-11,KZ,organic,mobile
28,2025-11-25,PL,affiliate,mobile
29,2025-11-21,GB,affiliate,mobile
30,2025-08-20,PL,organic,mobile
31,2025-08-02,IN,affiliate,mobile
32,2025-05-14,KZ,ads,mobile
33,2025-11-03,DE,affiliate,mobile
34,2025-10-28,IT,organic,mobile
35,2025-10-10,DE,affiliate,mobile
36,2025-11-18,DE,organic,desktop
37,2025-11-22,KZ,organic,mobile
38,2025-10-09,UA,affiliate,mobile
39,2025-11-15,IN,ads,mobile
40,2025-08-24,PL,organic,mobile
41,2025-10-17,IN,ads,mobile
42,2025-07-04,KZ,affiliate,desktop
43,2025-08-15,GB,organic,mobile
44,2025-11-05,UA,organic,desktop
45,2025-07-04,PL,ads,mobile
46,2025-07-13,IN,organic,mobile
47,2025-10-25,PL,ads,desktop
48,2025-11-08,KZ,organic,desktop
49,2025-08-20,GB,ads,desktop
50,2025-11-21,ES,affiliate,desktop
51,2025-11-17,DE,ads,mobile
52,2025-11-25,GB,organic,mobile
53,2025-07-19,IN,affiliate,mobile
54,2025-08-25,ES,ads,mobile
55,2025-08-14,GB,organic,mobile
56,2025-07-21,PL,affiliate,mobile
57,2025-10-12,IT,organic,desktop
58,2025-09-19,PL,ads,mobile
59,2025-11-21,UA,affiliate,mobile
60,2025-11-23,UA,affiliate,mobile
61,2025-08-24,TR,organic,desktop
62,2025-10-10,DE,ads,desktop
63,2025-09-20,PL,organic,mobile
64,2025-07-26,GB,ads,mobile
65,2025-09-02,BR,organic,mobile
66,2025-09-22,KZ,organic,mobile
67,2025-09-21,IN,organic,mobile
68,2025-11-06,ES,ads,mobile
69,2025-11-25,DE,affiliate,mobile
70,2025-10-17,UA,ads,mobile
71,2025-11-16,IT,organic,mobile
72,2025-10-22,TR,organic,desktop
73,2025-06-26,DE,affiliate,mobile
74,2025-11-14,PL,ads,desktop
75,2025-11-25,IT,ads,desktop
76,2025-11-09,TR,organic,mobile
77,2025-11-07,ES,organic,desktop
78,2025-08-26,BR,ads,mobile
79,2025-09-22,KZ,ads,mobile
80,2025-07-20,GB,ads,mobile
81,2025-08-25,UA,ads,mobile
82,2025-10-22,IN,affiliate,mobile
83,2025-07-10,KZ,organic,mobile
84,2025-11-20,ES,organic,mobile
85,2025-11-25,TR,organic,mobile
86,2025-11-24,UA,organic,mobile
87,2025-08-08,IN,organic,mobile
88,2025-10-12,ES,organic,mobile
89,2025-11-20,GB,organic,mobile
90,2025-10-04,KZ,organic,mobile
91,2025-11-21,KZ,organic,mobile
92,2025-08-16,PL,ads,mobile
93,2025-10-15,PL,ads,desktop
94,2025-10-26,IT,organic,mobile
95,2025-11-06,IN,ads,mobile
96,2025-09-03,BR,organic,desktop
97,2025-10-29,BR,ads,mobile
98,2025-11-24,PL,organic,mobile
99,2025-11-23,KZ,organic,desktop
100,2025-05-16,ES,ads,desktop
101,2025-06-06,KZ,ads,desktop
102,2025-08-15,BR,ads,mobile
103,2025-11-11,UA,ads,desktop
104,2025-05-13,PL,organic,desktop
105,2025-07-22,UA,organic,desktop
106,2025-08-10,PL,ads,desktop
107,2025-10-14,BR,organic,desktop
108,2025-11-10,IT,affiliate,mobile
109,2025-11-24,UA,organic,mobile
110,2025-06-08,GB,affiliate,desktop
111,2025-10-13,PL,affiliate,mobile
112,2025-11-17,TR,affiliate,mobile
113,2025-11-06,BR,affiliate,mobile
114,2025-09-16,UA,ads,mobile
115,2025-11-19,PL,organic,mobile
116,2025-06-25,DE,organic,desktop
117,2025-07-28,PL,affiliate,mobile
118,2025-08-09,ES,organic,desktop
119,2025-10-17,PL,organic,mobile
120,2025-09-04,PL,organic,mobile
121,2025-09-15,GB,affiliate,mobile
122,2025-08-29,DE,ads,desktop
123,2025-11-24,UA,affiliate,mobile
124,2025-10-20,UA,ads,mobile
125,2025-11-25,ES,organic,mobile
126,2025-10-05,ES,organic,mobile
127,2025-11-03,ES,organic,mobile
128,2025-11-21,UA,organic,desktop
129,2025-11-23,DE,organic,desktop
130,2025-09-14,GB,organic,mobile
131,2025-11-19,GB,organic,desktop
132,2025-05-31,UA,ads,desktop
133,2025-09-16,BR,ads,mobile
134,2025-10-31,UA,organic,mobile
135,2025-09-14,PL,organic,mobile
136,2025-11-25,KZ,organic,desktop
137,2025-05-17,ES,ads,mobile
138,2025-10-08,GB,ads,mobile
139,2025-07-20,PL,ads,mobile
140,2025-11-24,UA,ads,desktop
141,2025-10-07,PL,organic,desktop
142,2025-10-06,DE,affiliate,mobile
143,2025-05-26,DE,organic,desktop
144,2025-09-18,PL,organic,desktop
145,2025-10-10,ES,ads,desktop
146,2025-11-11,GB,ads,mobile
147,2025-11-03,ES,ads,mobile
148,2025-09-30,IN,organic,desktop
149,2025-10-16,IN,affiliate,mobile
150,2025-11-25,GB,organic,desktop
151,2025-07-06,IN,ads,desktop
152,2025-06-11,PL,organic,mobile
153,2025-11-21,PL,organic,mobile
154,2025-09-22,TR,organic,mobile
155,2025-11-23,IN,organic,mobile
156,2025-08-23,PL,organic,mobile
157,2025-11-09,TR,ads,desktop
158,2025-08-27,ES,affiliate,desktop
159,2025-08-07,PL,ads,desktop
160,2025-07-25,UA,ads,mobile
161,2025-11-23,IT,organic,desktop
162,2025-06-03,UA,organic,mobile
163,2025-11-14,PL,organic,mobile
164,2025-11-25,IN,ads,desktop
165,2025-09-22,IT,organic,mobile
166,2025-10-28,DE,organic,desktop
167,2025-07-05,DE,ads,mobile
168,2025-07-12,KZ,ads,mobile
169,2025-11-04,TR,ads,mobile
170,2025-05-20,GB,organic,mobile
171,2025-11-08,IT,organic,mobile
172,2025-10-01,GB,organic,desktop
173,2025-11-12,DE,ads,mobile
174,2025-05-26,GB,ads,mobile
175,2025-11-20,BR,affiliate,mobile
176,2025-11-25,TR,ads,mobile
177,2025-10-17,BR,organic,mobile
178,2025-05-04,KZ,organic,mobile
179,2025-06-12,BR,ads,mobile
180,2025-07-31,IN,ads,mobile
181,2025-06-13,PL,organic,mobile
182,2025-06-12,BR,affiliate,mobile
183,2025-09-30,PL,ads,mobile
184,2025-11-05,UA,affiliate,mobile
185,2025-07-24,KZ,affiliate,mobile
186,2025-08-26,IT,ads,mobile
187,2025-10-27,UA,affiliate,desktop
188,2025-11-24,GB,ads,mobile
189,2025-08-01,UA,ads,mobile
190,2025-11-11,DE,ads,desktop
191,2025-05-26,KZ,ads,desktop
192,2025-11-13,PL,ads,desktop
193,2025-11-22,GB,organic,desktop
194,2025-07-04,TR,organic,desktop
195,2025-11-21,IN,ads,mobile
196,2025-11-19,GB,affiliate,mobile
197,2025-09-11,KZ,organic,desktop
198,2025-06-19,KZ,affiliate,mobile
199,2025-11-17,DE,ads,mobile
200,2025-11-05,IN,affiliate,mobile
201,2025-07-22,GB,affiliate,mobile
202,2025-05-12,BR,ads,desktop
203,2025-10-04,PL,organic,desktop
204,2025-11-21,IN,ads,desktop
205,2025-11-25,IN,affiliate,mobile
206,2025-11-14,UA,ads,mobile
207,2025-11-22,KZ,organic,mobile
208,2025-08-22,TR,ads,mobile
209,2025-11-22,GB,affiliate,mobile
210,2025-10-03,IN,ads,mobile
211,2025-08-17,TR,affiliate,mobile
212,2025-09-16,GB,organic,mobile
213,2025-11-17,GB,ads,mobile
214,2025-07-13,PL,affiliate,mobile
215,2025-08-11,PL,organic,desktop
216,2025-08-03,KZ,ads,mobile
217,2025-11-22,GB,organic,mobile
218,2025-11-22,PL,organic,desktop
219,2025-05-30,ES,ads,mobile
220,2025-10-23,PL,affiliate,mobile
221,2025-11-07,IN,affiliate,mobile
222,2025-10-07,GB,ads,mobile
223,2025-08-26,PL,affiliate,desktop
224,2025-05-19,GB,ads,desktop
225,2025-11-08,GB,ads,desktop
226,2025-05-31,PL,ads,mobile
227,2025-11-25,DE,ads,desktop
228,2025-09-22,ES,organic,mobile
229,2025-09-02,IT,organic,mobile
230,2025-11-23,TR,ads,mobile
231,2025-11-21,PL,ads,mobile
232,2025-10-20,DE,organic,mobile
233,2025-05-14,UA,organic,mobile
234,2025-09-12,BR,organic,desktop
235,2025-05-28,IN,organic,mobile
236,2025-07-13,BR,organic,mobile
237,2025-10-11,ES,ads,desktop
238,2025-07-20,PL,affiliate,mobile
239,2025-11-25,UA,ads,desktop
240,2025-11-23,DE,affiliate,mobile
241,2025-07-05,IN,organic,mobile
242,2025-07-16,IN,ads,mobile
243,2025-11-14,ES,ads,desktop
244,2025-09-28,UA,organic,mobile
245,2025-09-10,GB,organic,desktop
246,2025-06-21,TR,ads,desktop
247,2025-09-10,PL,organic,mobile
248,2025-10-21,GB,ads,desktop
249,2025-10-27,DE,ads,mobile
250,2025-10-19,IN,organic,mobile
251,2025-08-29,TR,organic,mobile
252,2025-06-21,TR,ads,mobile
253,2025-10-13,TR,ads,mobile
254,2025-11-13,IT,organic,desktop
255,2025-11-14,BR,ads,mobile
256,2025-08-01,PL,ads,desktop
257,2025-07-09,IT,organic,mobile
258,2025-11-23,DE,ads,mobile
259,2025-11-25,KZ,ads,desktop
